"co2level","Date","GPP","Precipitation","Tair","Tem_soil_surface","Tem_soil_0_10cm","Tem_soil_10_20cm","Tem_soil_20_30cm","Tem_soil_30_40cm","Tem_soil_40_50cm","Tem_soil_50_60cm","Tem_soil_60_70cm","Tem_soil_70_80cm","Tem_soil_80_90cm","Tem_soil_90_100cm","Water_soil_0_10cm","Water_soil_10_20cm","Water_soil_20_30cm","Water_soil_30_40cm","Water_soil_40_50cm","Water_soil_50_60cm","Water_soil_60_70cm","Water_soil_70_80cm","Water_soil_80_90cm","Water_soil_90_100cm"
"CO2: 400 ppm",2015-06-22,3.1921,5.6,17.5183333333333,11.0625,8.19666666666667,6.23791666666667,4.58541666666667,3.33041666666667,2.52541666666667,2.18916666666667,1.85416666666667,1.80583333333333,2.05,2.29208333333333,0.952733333333333,0.939225,0.942841666666667,0.945441666666667,0.947229166666667,0.948408333333333,0.949179166666667,0.9496,0.949866666666667,0.95
"CO2: 400 ppm",2015-06-23,4.5642,0,18.20625,11.2741666666667,8.44458333333333,6.63666666666667,5.09791666666667,3.81166666666667,2.90083333333333,2.44625,1.99166666666667,1.87791666666667,2.10291666666667,2.32708333333333,0.9524,0.938675,0.9426,0.945329166666667,0.947175,0.948395833333333,0.94915,0.9496,0.949845833333333,0.95
"CO2: 400 ppm",2015-06-24,3.3652,10.8,17.4933333333333,11.3,8.70958333333333,7.02166666666667,5.56083333333333,4.25708333333333,3.27583333333333,2.70916666666667,2.14291666666667,1.96208333333333,2.16958333333333,2.3775,0.952725,0.938741666666667,0.942604166666667,0.945316666666667,0.947166666666667,0.948383333333333,0.949133333333333,0.9496,0.949816666666667,0.95
"CO2: 400 ppm",2015-06-25,4.4641,2.5,18.4058333333333,12.4933333333333,9.34166666666667,7.46291666666667,5.96208333333333,4.6275,3.59208333333333,2.92708333333333,2.26166666666667,2.02416666666667,2.21,2.39791666666667,0.952558333333333,0.9390875,0.9428125,0.945429166666667,0.947225,0.948429166666667,0.949154166666667,0.9496,0.94985,0.95
"CO2: 400 ppm",2015-06-26,4.7574,0.1,19.1033333333333,12.7083333333333,9.70541666666667,7.86541666666667,6.35541666666667,4.995,3.91208333333333,3.16,2.40875,2.115,2.28125,2.4475,0.9525375,0.938491666666667,0.942508333333333,0.945266666666667,0.947141666666667,0.948358333333333,0.949141666666667,0.9496,0.949829166666667,0.95
"CO2: 400 ppm",2015-06-27,4.0672,7.4,19.9741666666667,13.0991666666667,10.15125,8.27791666666667,6.74375,5.34583333333333,4.22,3.385,2.55166666666667,2.20708333333333,2.34791666666667,2.49208333333333,0.952508333333333,0.938083333333333,0.942258333333333,0.945133333333333,0.947066666666667,0.948345833333333,0.9491125,0.9496,0.949804166666667,0.95
"CO2: 400 ppm",2015-06-28,4.5362,0.1,20.0483333333333,13.35625,10.485,8.65833333333333,7.11666666666667,5.68625,4.51875,3.60583333333333,2.69291666666667,2.2975,2.41916666666667,2.53958333333333,0.9526,0.938341666666667,0.942370833333333,0.945179166666667,0.9470875,0.948333333333333,0.9491,0.9496,0.9498,0.95
"CO2: 400 ppm",2015-06-29,4.8582,0,20.2383333333333,13.6225,10.7929166666667,9.00083333333333,7.46208333333333,6.035,4.8425,3.84958333333333,2.85833333333333,2.40916666666667,2.505,2.60208333333333,0.952483333333333,0.938220833333333,0.942308333333333,0.94515,0.947066666666667,0.948341666666667,0.9491,0.9496,0.9498,0.95
"CO2: 400 ppm",2015-06-30,3.8106,0,17.5441666666667,13.1895833333333,10.8333333333333,9.24041666666667,7.78458333333333,6.37708333333333,5.16625,4.10416666666667,3.04208333333333,2.5475,2.62166666666667,2.69375,0.952541666666667,0.937833333333333,0.942079166666667,0.9450125,0.946991666666667,0.948279166666667,0.9491,0.9496,0.9498,0.95
"CO2: 400 ppm",2015-07-01,4.3381,0,17.9325,12.9879166666667,10.7783333333333,9.33458333333333,8.01083333333333,6.64791666666667,5.44166666666667,4.32,3.2,2.66291666666667,2.71125,2.75916666666667,0.952575,0.938066666666667,0.942179166666667,0.94505,0.947008333333333,0.948291666666667,0.9491,0.9496,0.9498,0.95
